Publication Number,Title,Abstract,All Claims,First US Classification,All CP Classifications,All IP Classifications
CN202951244,"Toy eye structure","The utility model discloses a toy eye structure which comprises a crystal eye a crystal cover a mounting pin and a real cover wherein the mounting pin is connected to the crystal eye the rear cover is connected to the mounting pin the crystal eye is embedded in the crystal cover and the mounting pin is a cylindrical object with a plurality of convex edges on the outer wall; the rear cover includes a bowl-shaped cover body and a barrel-shaped body wherein a through hole is formed in the cover body the barrel-shaped body is arranged on the bottom of the bowl-shaped cover body the shape of the through hole is arranged corresponding to that of the section of the mounting pin the mounting pin is in interference fit with the through hole and penetrates through the through hole and the rear cover is connected on the mounting pin in a clamped mode through the through hole. The toy eye structure has the advantages of being simple in working procedure good in environment-friendly effect high in product yield and production efficiency and the like.","1. an eye toy structure is characterized in that:
				    Described eye toy structure comprises:
				    One crystal eye;
				    One crystal cover;
				    One mount pin, described mount pin is connected to described crystal eye;
				    One back cover, described back cover is connected on described mount pin;
				    Described crystal eye is embedded in described crystal cover;
				    Described mount pin is the column that an outer wall has most bar fins;
				    Described back cover comprise a bottom have through hole bowl bodies cover body and be arranged at the cylindrical body of the cover body bottom of described bowl bodies, the shape setting in the cross section of the corresponding described mount pin of the shape of described through hole, described mount pin interference fit wear described through hole;
				    Described back cover is connected on described mount pin by described through hole fixed card.
			
			  
				    2. a kind of eye toy structure as claimed in claim 1 is characterized in that:
				    The position, middle and lower part of described mount pin also arranges a fixed block, and described fixed block annular is arranged at the outer wall of described mount pin, is the wedge shape setting.
			
			  
				    3. a kind of eye toy structure as claimed in claim 2 is characterized in that:
				    The diameter of the part in described fixed block bottom in described mount pin is less than the diameter in described fixed block top.
			
			  
				    4. a kind of eye toy structure as claimed in claim 1 is characterized in that:
				    Fin on described mount pin is more than three roads.
			
			  
				    5. a kind of eye toy structure as claimed in claim 1 is characterized in that:
				    Fin on described mount pin is six roads, and the cross section semicircular in shape of described fin.
			
			  
				    6. a kind of eye toy structure as claimed in claim 1 is characterized in that:
				    Described crystal cover is that a cross section is the semicircular transparent or semitransparent body of trapezoidal shape.
			
			  
				    7. a kind of eye toy structure as claimed in claim 1 is characterized in that:
				    Described crystal cover and described mount pin and crystal eye are injected into one.
			
			  
				    8. a kind of eye toy structure as claimed in claim 1 is characterized in that:
				    Described crystal cover and described mount pin and crystal eye assembling are connected to one.",446389000,A63H0003380000,A63H00338000
CN101642623,"Toy eye","The invention relates to a toy eye which comprises a front cover a rear cover an electromagnet and an iris and pupil assembly wherein the front cover is provided with a first through hole and a first lateral wall the rear cover is matched and connected with the front cover to form an accommodation space the electromagnet is fixedly arranged on the rear cover and the iris and pupil assembly is positioned in the accommodation space; the iris and pupil assembly comprises an elastic iris an elastic pupil embedded in the iris a metal body which is fixedly arranged on the pupil and close toone side of the electromagnet and a bearing part; a second through hole which corresponds to the metal body is arranged on the bearing part; the iris and the pupil are connected to the bearing part and the metal body passes through the second through hole and corresponds to the electromagnet; and the iris and pupil assembly is fixed at the inner side of the first lateral wall and matched with thefirst through hole. The toy eye ensures that the elastic iris and the elastic pupil stretch under the stressing state by utilizing the electromagnet to attract the metal body connected with the pupilthereby changing the size of the iris and being simple in structure.","1. eye toy, it is characterized in that, this eye toy comprises a protecgulum with one first through hole and a first side wall, the back that links to each other with this front cover match forms the bonnet of a receiving space, an electromagnet and an iris pupil assembly that is positioned at this receiving space that is fixedly arranged on this bonnet, this iris pupil assembly comprises a rubber-like iris, a rubber-like pupil that is embedded in this iris, one is fixedly arranged on this pupil and metallic object and a supporting part of a side of close this electromagnet, offer one and corresponding second through hole of this metallic object on this supporting part, this iris and this pupil are connected on this supporting part and make this metallic object be arranged in this second through hole and corresponding with this electromagnet, and this iris pupil assembly is fixed in the inboard of this first side wall and matches with this first through hole.
			
			  
				    2. eye toy as claimed in claim 1 is characterized in that, this bonnet comprises a bottom and second sidewall that matches with this first side wall, and this electromagnet is fixedly arranged on this bottom by gummed mode or engaging mode.
			
			  
				    3. eye toy as claimed in claim 2, it is characterized in that, this eye toy also comprises at least two screws, the inboard of this first side wall comprises the screw seat of at least two hollows, this bottom offer at least two with the corresponding screw of this screw seat, this bonnet passes these at least two screws and this at least two screw seats successively by these at least two screws and is connected with this protecgulum.
			
			  
				    4. eye toy as claimed in claim 2, it is characterized in that, this eye toy also comprises at least two screws, at least two screws are offered in the inboard of this first side wall, this bottom comprise at least two with the corresponding screw seat of this screw, this bonnet passes these at least two screws and this at least two screw seats successively by these at least two screws and is connected with this protecgulum.
			
			  
				    5. eye toy as claimed in claim 1 is characterized in that, this iris and this pupil are glued on this supporting part.
			
			  
				    6. eye toy as claimed in claim 1 is characterized in that this iris is made by elastic film.
			
			  
				    7. eye toy as claimed in claim 1 is characterized in that this pupil is made by elastic film.
			
			  
				    8. eye toy as claimed in claim 1, it is characterized in that, this supporting part comprises at least two projections, the inboard of this first side wall comprises at least two projection seats, and this iris pupil assembly closely cooperates by these two projections and this two projection seats be fixed in the inboard of this first side wall at least at least.
			
			  
				    9. eye toy as claimed in claim 1, it is characterized in that, this supporting part comprises at least two projection seats, the inboard of this first side wall comprises at least two projections, and this iris pupil assembly closely cooperates by these two projections and this two projection seats be fixed in the inboard of this first side wall at least at least.",446389000,A63H0003380000,A63H00338000
CN101642623,"Toy eye","The invention relates to a toy eye which comprises a front cover a rear cover an electromagnet and an iris and pupil assembly wherein the front cover is provided with a first through hole and a first lateral wall the rear cover is matched and connected with the front cover to form an accommodation space the electromagnet is fixedly arranged on the rear cover and the iris and pupil assembly is positioned in the accommodation space; the iris and pupil assembly comprises an elastic iris an elastic pupil embedded in the iris a metal body which is fixedly arranged on the pupil and close toone side of the electromagnet and a bearing part; a second through hole which corresponds to the metal body is arranged on the bearing part; the iris and the pupil are connected to the bearing part and the metal body passes through the second through hole and corresponds to the electromagnet; and the iris and pupil assembly is fixed at the inner side of the first lateral wall and matched with thefirst through hole. The toy eye ensures that the elastic iris and the elastic pupil stretch under the stressing state by utilizing the electromagnet to attract the metal body connected with the pupilthereby changing the size of the iris and being simple in structure.","1. eye toy, it is characterized in that, this eye toy comprises a protecgulum with one first through hole and a first side wall, the back that links to each other with this front cover match forms the bonnet of a receiving space, an electric magnet and an iris pupil assembly that is positioned at this receiving space that is fixedly arranged on this bonnet, this iris pupil assembly comprises a rubber-like iris, a rubber-like pupil that is embedded in this iris, one is fixedly arranged on this pupil and metallic object and a supporting part of a side of close this electric magnet, offer one and corresponding second through hole of this metallic object on this supporting part, this iris and this pupil are connected on this supporting part and make this metallic object be arranged in this second through hole and corresponding with this electric magnet, and this iris pupil assembly is fixed in the inboard of this first side wall and matches with this first through hole.
      
      
        2. eye toy as claimed in claim 1 is characterized in that, this bonnet comprises a bottom and second sidewall that matches with this first side wall, and this electric magnet is fixedly arranged on this bottom by gummed mode or engaging mode.
      
      
        3. eye toy as claimed in claim 2, it is characterized in that, this eye toy also comprises at least two screws, the inboard of this first side wall comprises the screw seat of at least two hollows, this bottom offer at least two with the corresponding screw of this screw seat, this bonnet passes these at least two screws and this at least two screw seats successively by these at least two screws and is connected with this protecgulum.
      
      
        4. eye toy as claimed in claim 2, it is characterized in that, this eye toy also comprises at least two screws, at least two screws are offered in the inboard of this first side wall, this bottom comprise at least two with the corresponding screw seat of this screw, this bonnet passes these at least two screws and this at least two screw seats successively by these at least two screws and is connected with this protecgulum.
      
      
        5. eye toy as claimed in claim 1 is characterized in that, this iris and this pupil are glued on this supporting part.
      
      
        6. eye toy as claimed in claim 1 is characterized in that this iris is made by elastic film.
      
      
        7. eye toy as claimed in claim 1 is characterized in that this pupil is made by elastic film.
      
      
        8. eye toy as claimed in claim 1, it is characterized in that, this supporting part comprises at least two projections, the inboard of this first side wall comprises at least two projection seats, and this iris pupil assembly closely cooperates by these two projections and this two projection seats be fixed in the inboard of this first side wall at least at least.
      
      
        9. eye toy as claimed in claim 1, it is characterized in that, this supporting part comprises at least two projection seats, the inboard of this first side wall comprises at least two projections, and this iris pupil assembly closely cooperates by these two projections and this two projection seats be fixed in the inboard of this first side wall at least at least.",623005160,A63H0003380000,"A61F00214000 | A63H00338000 | A63H00340000"
CN202620695,"Toy eye structure","The utility model discloses a toy eye structure which comprises a crystal eye a crystal cover a mounting pin and a rear cover. The mounting pin is connected with the crystal eye. The rear cover is connected with the mounting pin. The crystal eye is arranged in the crystal cover in embedded mode. One end of the mounting pin is connected with the crystal eye the other end of the mounting pin is opposite to the end and a strip-type groove is formed at the center of the other end of the mounting pin. The rear cover comprises a bowl-shaped cover body with a through hole at the bottom and a tube-shaped body arranged at the bottom of the bowl-shaped cover body. A fixing block corresponding to the strip-type groove is formed at the center of the connecting tube-shaped body. The rear cover is fixed and clamped on the mounting pin through the through hole and the fixing block. The toy eye structure has the advantages of simple working procedures good environmental protection effects high rates of finished products and production efficiency and the like.","1. eye toy structure is characterized in that:
        Said eye toy structure comprises:
        One quartzy eye;
        One crystal cover;
        One mount pin, said mount pin are connected to said quartzy eye;
        One back cover, said back cover are connected on the said mount pin;
        Said quartzy eye is embedded in the said crystal cover;
        Center with respect to the other end of an end that connects with said quartzy eye on the said mount pin is formed with bar-shaped trough;
        Said back cover comprise a bottom have through hole bowl bodies cover body and be arranged at the cylindrical body of the cover body bottom of said bowl bodies, the center of said connection cylindrical body is formed with a fixed block corresponding to said bar-shaped trough;
        Said back cover is connected on the said mount pin through said through hole and fixed block fixed card.
      
      
        2. a kind of eye toy structure as claimed in claim 1 is characterized in that:
        Said eye toy structure also comprises a protective layer, and said protective layer is arranged between said back cover and the said crystal cover.
      
      
        3. a kind of eye toy structure as claimed in claim 2 is characterized in that:
        Said protective layer is a cavernous body thin slice.
      
      
        4. a kind of eye toy structure as claimed in claim 1 is characterized in that:
        Said crystal cover is that a cross section is the semicircular transparent or semitransparent body of trapezoidal shape.
      
      
        5. a kind of eye toy structure as claimed in claim 1 is characterized in that:
        Said crystal cover and said mount pin and quartzy eye are injected into one.
      
      
        6. a kind of eye toy structure as claimed in claim 1 is characterized in that:
        Said crystal cover and said mount pin and quartzy eye assembling are connected to one.",446389000,A63H0003380000,A63H00338000
CN204319752,"Toy eye","The utility model provides a kind of eye toy and the eyes pattern of printing does not expose and can not bring harm to the healthy of children security is high and eyes are true to nature lively simultaneously and third dimension is strong.Described eye toy comprises front panel plastic membranous layer fixed leg and rear clad; Front panel is by transparent resin filling formation fixed leg has external screw thread an one end face is plane plastic membranous layer is between panel and fixed leg and be pasted onto on the planar end of fixed leg rear clad by transparent resin filling formation connects as one with front panel and envelopes the planar end place end of plastic membranous layer and fixed leg.The utility model has eyes pattern and is not exposed to eye toy on the surface the printing chemical material contained in eyes pattern when children can be avoided to play brings harm to children&#39;s torso health meets the requirement of current domestic and international market to the safety detection of toy for children.","1 this utility model claims a toy of eye wherein: Comprises a front panel plastic film layer fixed column and the back covering layer; Said front panel is composed of transparent resin filling into the said fixed column is equipped with outer screw thread one end surface is plane surface of said plastic film layer is set at the front panel and said fixing post is set between the front face has the advantages of eye pattern back side is adhesive face of said plastic film layer and its back is adhered on the surface of the central part is stuck on said fixing post of the plane on the end face of; The back covering layer is composed of transparent resin filling is formed around the edge of the said front panel four sides are connected as a whole body and covers the plastic film layer and fixed pole of the planar end surface of the end of.
According to claim 1 wherein said toy eye wherein: Said plastic film layer the back surface of the central part is set in the said fixing post of the planar end surface of the locating mark.
According to claim 1 wherein said toy eye wherein: Said location mark is a circular ring or circular point or cross pattern.
4 according to claim 1 wherein said toy eye wherein: Said front panel the front face is in arc shape back surface is plane surface of the arc plane board or the front and back sides are plane the plane of panel.",446389000,A63H0003380000,"A63H00338000 | A63H00342000"
CN204582542,"Toy eyes structure","The utility model relates to toy art be specifically related to a kind of toy eyes structure comprise eyeball seat the front of described eyeball seat is provided with groove and grating paster is located in described groove the shape of described groove size and described grating sticker photo with the bottom land of described groove and/or the bottom surface of grating paster are provided with glue layer grating paster is pasted in described groove by described glue layer and described toy eyes structure also comprises a connection piece and it is connected with the bottom surface of described eyeball seat.The utility model utilizes groove structure to be fixed on eyeball seat by grating paster and the eyes pearl shape of formation pattern are more diversified meet the individual requirement of user.","1 this utility model claims a toy of double eye structure comprises base eyeball wherein: Said eye ball seat the front face of the concave groove is set on the grating paster is set in the groove is.
According to claim 1 wherein said toy double eye structure wherein the: Said concave groove the shape and size of the said grating is same as the adhesive paper.
According to claim 1 or 2 wherein said toy double eye structure wherein the: Said the bottom of the concave groove and / or grating paster are set at the bottom of the glue water layer grating adhesive paper through the glue water layer is adhered to the groove is.
4 according to claim 1 or 2 wherein said toy double eye structure wherein the: It also comprises a connecting piece with the eyeball seat connected with the bottom surface of.
5 according to claim 1 wherein said toy double eye structure wherein the: Said connecting piece and said eye ball seat is vertically connected with.",446389000,A63H0003380000,A63H00338000
CN203043539,"Toy eyes","The utility model discloses toy eyes. The toy eyes comprise a main body and polyvinyl chloride (PVC) films wherein the main body comprises a spherical transparent covering layer arranged at the front end and a fixing post arranged at the rear end. The spherical transparent covering layer is fixedly connected with the fixing post. A sparking layer is formed by the PVC films by electroplating and the PVC films penetrate through the fixing post and are arranged on the main body. The toy eyes have a sparking effect are secure durable and anti-abrasion. The sparking effect is comfortable and natural.","1. eye toy, it is characterized in that, comprise main body and PVC film, described main body comprises the fixed leg of the transparent clad of the sphere of front end and rear end, the transparent clad of described sphere is fixedlyed connected with fixed leg, the surface of described PVC film forms flash layer by electroplating, and described PVC film passes fixed leg and is set on the main body.
			
			  
				    2. eye toy according to claim 1 is characterized in that, the transparent clad of described sphere is fixedlyed connected by the heat seal mode with fixed leg.
			
			  
				    3. eye toy according to claim 1 and 2 is characterized in that, described fixed leg is provided with screw thread.",446389000,A63H0003380000,A63H00338000
CN101934150,"Pupil imitation mechanism and toy eyes","The invention provides a pupil imitation mechanism which comprises a base plate a plurality of blades and a driving mechanism wherein the base plate comprises a plurality of pin-jointed structures which are arranged in a circle; the plurality of blades sequentially enclose into a quaquaversal shape around the center of circle by mutually crossing and overlapping; each blade comprises a free end and a connecting end; the connecting end is pivoted with the pin-jointed structure; and the rotating axe of the connecting end is parallel to the base plate; the free ends enclose a round hole; and the driving mechanism can drive the plurality of blades to rotate relative to the base plate. The pupil imitation mechanism provided by the invention achieves the effect of changing the size of the pupil by changing the size of the round hole enclosed by the free ends so as to carry out the expression of various emotions. In addition the invention also provides toy eyes with the pupil imitation mechanism.","1. pupil simulation mechanism, it comprises substrate, a plurality of blade and driving mechanism, described substrate comprises a plurality of pin-jointed structures by circular arrangement, described a plurality of blade intermesh in order around a center of circle overlapping surround dome, each blade comprises free end and link, and described link and described pin-jointed structure are articulated, and the pivot center of described link is parallel to described substrate, its free end surrounds a circular hole, and described driving mechanism can drive the relative substrate rotating of described a plurality of blade.
      
      
        2. pupil simulation mechanism as claimed in claim 1 is characterized in that described blade is an arc-like sheet.
      
      
        3. pupil simulation mechanism as claimed in claim 1 is characterized in that, substrate is circular.
      
      
        4. pupil simulation mechanism as claimed in claim 1 is characterized in that described driving mechanism drives described blade rotation by magnetic.
      
      
        5. pupil simulation mechanism as claimed in claim 4, it is characterized in that, described pupil simulation mechanism also comprises an elastic component, and described elastic component is connected between described blade and the described substrate, is used to described blade that the restoring force opposite with the drive mechanism direction is provided.
      
      
        6. eye toy, it comprises eyeball and pupil simulation mechanism, described eyeball comprises pupil region, described pupil simulation mechanism is arranged at the pupil region of described eyeball, described pupil simulation mechanism comprises substrate, a plurality of blades and driving mechanism, described a plurality of blade intermesh in order around a center of circle overlapping surround dome, each blade comprises free end and link, described link and described pin-jointed structure are articulated, and the pivot center of described link is parallel to described substrate, its free end surrounds a circular hole, and described driving mechanism can drive the relative substrate rotating of described a plurality of blade.
      
      
        7. eye toy as claimed in claim 6 is characterized in that described blade is an arc-like sheet.
      
      
        8. eye toy as claimed in claim 6 is characterized in that, substrate is circular.
      
      
        9. eye toy as claimed in claim 6 is characterized in that described driving mechanism drives described blade rotation by magnetic.
      
      
        10. eye toy as claimed in claim 6, it is characterized in that, described pupil simulation mechanism also comprises an elastic component, and described elastic component is connected between described blade and the described substrate, is used to described blade that the restoring force opposite with the drive mechanism direction is provided.",446035000,A63H0003400000,A63H00340000
CN205338906,"A flexible contact formula camera lens for formation of image of toy eye ground","The utility model discloses a flexible contact formula camera lens for formation of image of toy eye ground. The utility model discloses a flexible contact formula camera lens includes: toper lens cone plano -convex lens packing ring snap ring transparent filling medium transparent elasticity film and sealed clamping ring the utility model discloses a flexible contact formula camera lens rear end and imaging system link to each other and front end and the contact of toy eyeball have been fixed from the distance of toy eyeball to the imaging device camera lens angle that the fast speed adjusting of being convenient for put in order the toy eyeball to make light correctly incide focus on the retina micro deformation can be according to the size of toy eyeball to the flexible contact face makes its and the better laminating of eyeball to can not cause too big pressure and cause the eyeball to warp for the eyeball the utility model discloses both be applicable to the burnt scanning eye ground equipment CSLO of copolymerization also be applicable to optics tomography equipment OCT and simultaneously the utility model discloses the material that uses is simply easy and the preparation is simple and convenient and low cost has practical value.","1 this invention claims a method for small animal based on eyeground imaging through flexible contact lens wherein said soft contact lens comprises a: Taper lens convex lens cushion ring snap ring transparent filling medium and transparent elastic film and pressing ring sealing; Wherein the said cone of lens barrel center has through hole through hole comprises a rear through hole in through hole and the front through hole the diameter of the three parts decreases in turn and forms a stage shaped structure; After the back end of the through hole external diameter of the imaging device lens matching; In through hole of the diameter of the plane-convex lens the diameter of the same plane of the convex lens convex surface facing the back end of the plane face to the front end is placed in the middle through hole is put into the round ring shaped gasket through the blocking fastening ring the convex lens fixed in the through hole is; Front of the diameter of the through hole is connected with the small animal eyes ball the diameter of the same front through hole and convex lens between the planes forms a hollow cavity; The hollow cavity is filled with filling transparent medium filling transparent medium is liquid; Transparent elastic film covering the through hole pressure sealing ring is set on the elastic film and taper lens barrel the outside of the transparent sealing filling medium in the hollow cavity; Flexible contact lens and the back end of the image forming apparatus the front end of the lens are fixed in the front end clings to eyeball of the filling medium and the transparent elastic film forming flexible contact surface is completely attached to an eyeball.
2 according to claim 1 said flexible contact lens wherein said liquid transparent filling medium uses the refractive index between the glass and cornea between the material.
3 according to claim 1 said flexible contact lens wherein said transparent filling medium by physiological saline or phosphate buffered saline solution.
4 according to claim 1 said flexible contact lens wherein said convex lens the focal distance can meet: From imaging device lens emitted by the parallel light through the soft contact lens and the small animal eyes are after the action of focused at fundus.
5 according to claim 1 said flexible contact lens it is characterized in that the said cone of lens barrel the outer diameter size from the rear end at front end of gradually reduced.
6 used for small animal based on eyeground imaging through flexible contact lens wherein said soft contact lens comprises a: Taper lens convex lens cushion ring snap ring and transparent filling medium; The cone of lens barrel center has through hole through hole comprises a rear through hole in through hole and the front through hole the diameter of the three parts decreases in turn and forms a stage shaped structure; After the back end of the through hole external diameter of the imaging device lens matching; In through hole of the diameter of the plane-convex lens the diameter of the same plane of the convex lens convex surface facing the back end of the plane face to the front end is placed in the middle through hole is put into the round ring shaped gasket through the blocking fastening ring the convex lens fixed in the through hole is; Front of the diameter of the through hole is connected with the small animal eyes ball the diameter of the same front through hole and convex lens between the planes forms a hollow cavity; Transparent medium is filled with elastic colloid adopted by filling in the hollow cavity; Transparent filling medium of the front surface is curved surface; Flexible contact lens and the back end of the image forming apparatus the front end of the lens are fixed in the front end clings to eyeball of the filling medium of the front surface forms the flexible contact surface is completely attached to an eyeball.
7 according to claim 1 said flexible contact lens wherein said elastic rubber body the transparent filling medium uses the refractive index between the glass and cornea between the light transmittance is over 90% at normal temperature is solid the water gel.
8 according to claim 1 said flexible contact lens wherein said filling transparent medium uses the agar glue or ultrasonic coupling agent.
9 according to claim 1 said flexible contact lens wherein said convex lens the focal distance can meet: From imaging device lens emitted by the parallel light through the soft contact lens and the small animal eyes are after the action of focused at fundus.
10 6 according to claim the flexible contact lens it is characterized in that the said cone of lens barrel the outer diameter size from the rear end at front end of gradually reduced.",600489000,A61B0003120000,A61B00312000
CN204147535,"Electromagnetic control toy eye device","The utility model discloses a kind of eye toy device of Electromagnetic Control comprises augen fixed mount eye socket body augen and augen link.The tubular installed part that augen fixed mount is connected by plate and both sides thereof forms and plate top is connected and installed the first hollow coil.Plate bottom inwardly generates the support member of level.Eye socket body cover installs on the installed part of augen fixed mount and augen is connected with tubular installed part by installation shaft.Augen bosom generates connector.Installation one magnet in the middle part of augen link two bifurcated front ends are plugged on the connector of augen.The support member of augen fixed mount can also install the second hollow coil.First hollow coil and the second hollow coil are electrically connected in control circuit version.The magnetic field that the utility model utilizes hollow coil to produce under pulse current effect attracts or repels magnet reaches and drives augen to produce the effect of blinking up and down.Vibrational power flow science good stability.","1 an electromagnetic control toy eye device wherein it comprises eye body fixed frame of glasses spectacle eyepit ball body and eye body is connected with the frame; Eyeball body fixed frame is composed of plate sheet and connected with the two sides of two cylindrical mounting piece is composed of mounting piece of front edge of horizontal axis direction the symmetric position of the eyeball is set with nick; Plate the upper part is connected with one of the back upper part extends out of the first coil holder set on the first air core coil and it is electrically connected to the control circuit board is; Plate the lower part of the generated in the horizontal supporting component of; Eye eyepit the front part of the eye body matching with the shell part and its back part is connected with the connecting part is set on the eye body fixed frame the mounting piece is; Eye body is spherical shell shaped structure the outer surface of the horizontal axis direction the symmetric position of generating two shaft is installed in the shell body middle part of generating the shape of the connecting piece; Eye body is connected with the shelf is u shape the middle part of the frame shape or groove shaped mounting seat is set a magnet two forficate front end of inserted into eyeball of the body of the cylinder are set on the connecting component.
According to claim 1 wherein said electromagnetic control toy eye device wherein said eye of the ball fixing frame the supporting piece is set on the second coil seat is set with the second air core coil winding the line direction of the first air core coil winding is opposite to direction; The second air core coil is also electrically connected to the control circuit board is.",446389000,A63H0003380000,A63H00338000
KR870000157,"Process for making toy-eyes","This invention relates to the process for making toy-eyes. A mould(6) which has a concavity (5) like toy-eyes is set beneath the vacuum vapor deposition equipment (4) and the printed transfer paper is inserted betwen the mould and the equipment. The vacuum vapor deposition equipment is operated with heating temperature of 70-80C for 3-5 seconds and the transfer paper is formed into the concavity (5&#39;) by heating pressure. The formed concavity is gouged and put into the another mould (6). The toyeyes are made by injection moulding using the mould (6).","1) surface (3) and place the mold to form a main portion (5), such that by placing the conventional transfer sheet (2) printed on a 3 to 5 seconds to 70- after taken out, heated to 80  and was injected to cool the cooling water and then the transfer sheet (2) so that static electricity is generated on the surface toy, characterized in that able to be emitted to a conventional plastic injection mold here get the toy snow (1) the method of the eye.",446266000,A63H0003420000,A63H00342000
TWM264249,"Improvement of packaging structure for movable toy eye",,">
      <claim-text>M264249</claim-text>
      <img img-format=""tif"" img-content=""drawing"" file=""TW-M264249-UC00101.tif"" id=""icf0001""/>
      <claim-text> kind of ""activity toy eyes of the package structure improvement"" contains attached structure and the removal of the structure, wherein: the patch by the Department of plastic convex structure layer, sealing layer, a layer composed of sheet-like body;, according to their structure-based sticky the removal of the release layer and the structure of the Department of the plastic convex layer, sealing layer and glue layer separation cut once ^ not cut off, the whole row of eye activity is still attached to the release layer. Spoon 2. An application for the patent scope of paragraph 1, ""the eyes of the toy package structure improvement activities,"" according to their structure, although attached by the Department of plastic convex layer, sealing layer, peeling layer and sticky layer absurd form a sheet-like body but the plastic layer is convex body was several transparent bubble shell, and each housing bubble inside are set to have a piece of eye color, and then seal the bottom welded to form activity eyes. 3. If the application of a proprietary range of the first term ""activity toy eyes of the package structure improvement"", according to their structure, although attached by the Department of plastic convex layer, sealing layer, layer of glue and a sheet-like body peeling layers, However, the Department of the viscose rayon layer is previously applied to the outer surface of the release layer, and then paste into the seal in the bottom 04  if the application range of the structural improvement of a patented item 1 ""eye of the toy packaging activities ""according to their protective layer attached to a sheet-like body structure although the Department of the plastic convex layer, sealing layer, glue layer and release layer, and the release layer is a waxy paper 'is overlying the layer of glue, that .</claim-text>
      <img img-format=""tif"" img-content=""drawing"" file=""TW-M264249-UC00102.tif"" id=""icf0002""/>
      <claim-text>Page 10</claim-text>
    </claim>
  </claims>",229406000,"B65D0075300000 | B65D0075340000","B65D07530000 | B65D07534000"
CN202666389,"Rotation preventive structure for toy eye","The utility model relates to the technical field of toy accessories in particular to a rotation preventive structure for a toy eye. The rotation preventive structure comprises a pupil part and a sleeving part. A connecting rod is arranged at the bottom of the pupil part an inverted fastener is arranged on the connecting rod symmetric planes are arranged on the connecting rod a sleeve cover is arranged on the outer portion of the sleeving part first clamp teeth are arranged on the circumference of the sleeve cover second clamp teeth are arranged in the sleeve cover and a mounting hole for mounting the connecting rod is arranged at the axial center of the sleeving part and is a through hole matched with the symmetric planes. The rotation preventive structure is simple and scientific in structural design the connecting rod cannot rotate in the sleeving part and the rotation preventive structure is tight in connection and good in safety performance.","1. doll eye anti-rotation structure, it comprises pupil spare (1), Coupling (2), it is characterized in that: the bottom of pupil spare (1) is provided with connecting rod (5), connecting rod (5) is provided with back-off spare (6), offer symmetrical plane (7) on the connecting rod (5), the outside of Coupling (2) is provided with external member cover (3), the circumference of external member cover (3) is provided with a latch (21), be provided with No. two latches (22) in the external member cover (3), the shaft core position of Coupling (2) offers the installing hole (4) that connecting rod (5) is installed, and installing hole (4) is the through hole (4) that cooperates with symmetrical plane (7).
			
			  
				    2. a kind of doll eye anti-rotation structure according to claim 1, it is characterized in that: described connecting rod (5) places in the through hole (4), and the top of connecting rod (5) is the top of outstanding Coupling (2).
			
			  
				    3. a kind of doll eye anti-rotation structure according to claim 1, it is characterized in that: described pupil spare (1), Coupling (2) are plastic parts.
			
			  
				    4. a kind of doll eye anti-rotation structure according to claim 1 is characterized in that: a described latch (21) is several, is distributed on the circumference of external member cover (3).
			
			  
				    5. a kind of doll eye anti-rotation structure according to claim 1 is characterized in that: described No. two latches (22) are several, are distributed on the inner surface of external member cover (3).
			
			  
				    6. a kind of doll eye anti-rotation structure according to claim 1, it is characterized in that: described No. two latches (22) are longer than the length of a latch (21).",446035000,"A63H0003380000 | A63H0003480000","A63H00338000 | A63H00348000"
CN201001961,"Toy eye structure","The utility model discloses a toy ocular structure with eyeballs which can turn left and right and upper eyelids that can open and close. The toy ocular structure consist of the fixed lower eyelids (1) the movable upper eyelids (5) and the left and right eyeballs (4) and (11). The left and right laggings (3) and (12) are added on the left and right eyelids. The upright columns of the laggings (2) and (13) and the connecting bar (14) are positioned on the left and right laggings and the eccentric runner (10) is arranged between the tow laggings (3) and (12). The eccentric runner pulls the laggings while running so as to make the eyeballs turn left and right. Vertical bars (6) with upright columns (7) are added on the back part of the upper eyelids. The upright columns (7) on the vertical bars are wedged into the concaved groove of the concaved groove rollers (8) in the back part of the eyeballs. When the concaved groove rollers run the upright columns (7) in the concaved groove drive the laggings to make up and down movements which promote the eyelids (5) to open and close. The eccentric runner (10) and the concaved groove rollers (8) are connected together by the connecting axles (9).","1. toy eye structure, partly form by last palpebra inferior and the eyeball that comprises wherein, it is characterized in that, in the structure of eye, on the absolute construction of left and right sides eyeball, increased lagging separately, having the lagging column to be communicated with a slice connecting rod on the lagging can link two eyeballs mutually, increased the upper eyelid montant at the rear portion in upper eyelid, one upper eyelid montant column is arranged on the montant of upper eyelid, the rear portion of eyeball has around the eccentric wheel of same spindle rotation and troughing roller, eccentric wheel is positioned at the centre position of left and right sides eyeball lagging, and upper eyelid montant column then is inserted into the troughing roller that is arranged in the eyeball rear portion.",446035000,A63H0003400000,A63H00340000
